,Area_Name,Date,Date.1,Year,Month,Employment,Unemployment,Unemployment_Rate
5623,San Gabriel city,April,2020-04-01,2020,April,16100,4600,0.222
5624,San Gabriel city,May,2020-05-01,2020,May,15900,5200,0.245
5625,San Gabriel city,June,2020-06-01,2020,June,16800,5000,0.23
5626,San Gabriel city,July,2020-07-01,2020,July,17200,4600,0.209
5627,San Gabriel city,August,2020-08-01,2020,August,17500,4000,0.187
5628,San Gabriel city,September,2020-09-01,2020,September,17800,3600,0.168
5629,San Jacinto city,March,2020-03-01,2020,March,17700,1400,0.071
5630,San Jacinto city,April,2020-04-01,2020,April,15600,3400,0.177
5631,San Jacinto city,May,2020-05-01,2020,May,15600,3500,0.181
5632,San Jacinto city,June,2020-06-01,2020,June,16000,3100,0.163
5633,San Jacinto city,July,2020-07-01,2020,July,16200,3100,0.16
5634,San Jacinto city,August,2020-08-01,2020,August,16400,2300,0.125
5635,San Jacinto city,September,2020-09-01,2020,September,16500,2400,0.124
5636,San Joaquin County,March,2020-03-01,2020,March,301100,27600,0.084
5637,San Joaquin County,April,2020-04-01,2020,April,267700,57900,0.17800000000000002
5638,San Joaquin County,May,2020-05-01,2020,May,268000,53500,0.166
5639,San Joaquin County,June,2020-06-01,2020,June,275600,51800,0.158
5640,San Joaquin County,July,2020-07-01,2020,July,276100,47700,0.147
5641,San Joaquin County,August,2020-08-01,2020,August,283400,36400,0.114
5642,San Joaquin County,September,2020-09-01,2020,September,286200,36800,0.114
5643,San Joaquin city,March,2020-03-01,2020,March,1400,300,0.174
5644,San Joaquin city,April,2020-04-01,2020,April,1300,400,0.257
5645,San Joaquin city,May,2020-05-01,2020,May,1300,400,0.239
5646,San Joaquin city,June,2020-06-01,2020,June,1300,400,0.225
5647,San Joaquin city,July,2020-07-01,2020,July,1300,400,0.21
5648,San Joaquin city,August,2020-08-01,2020,August,1400,300,0.165
5649,San Joaquin city,September,2020-09-01,2020,September,1400,300,0.165
5650,San Jose city,March,2020-03-01,2020,March,530400,19600,0.036000000000000004
5651,San Jose city,April,2020-04-01,2020,April,472900,75400,0.138
5652,San Jose city,May,2020-05-01,2020,May,472900,71600,0.131
5653,San Jose city,June,2020-06-01,2020,June,487900,69000,0.124
5654,San Jose city,July,2020-07-01,2020,July,493800,60600,0.109
5655,San Jose city,August,2020-08-01,2020,August,498500,46000,0.084
5656,San Jose city,September,2020-09-01,2020,September,501100,44900,0.08199999999999999
5657,San Jose-Sunnyvale-Santa Clara MSA,March,2020-03-01,2020,March,1036700,37700,0.035
5658,San Jose-Sunnyvale-Santa Clara MSA,April,2020-04-01,2020,April,924500,125500,0.12
5659,San Jose-Sunnyvale-Santa Clara MSA,May,2020-05-01,2020,May,924400,118200,0.113
5660,San Jose-Sunnyvale-Santa Clara MSA,June,2020-06-01,2020,June,953700,114900,0.108
5661,San Jose-Sunnyvale-Santa Clara MSA,July,2020-07-01,2020,July,965300,101300,0.095
5662,San Jose-Sunnyvale-Santa Clara MSA,August,2020-08-01,2020,August,974500,76300,0.073
5663,San Jose-Sunnyvale-Santa Clara MSA,September,2020-09-01,2020,September,979500,74800,0.071
5664,"San Jose-Sunnyvale-Santa Clara, CA MSA",March,2020-03-01,2020,March,1041032,35844,0.033
5665,"San Jose-Sunnyvale-Santa Clara, CA MSA",April,2020-04-01,2020,April,931566,127612,0.12
5666,"San Jose-Sunnyvale-Santa Clara, CA MSA",May,2020-05-01,2020,May,930036,121287,0.115
5667,"San Jose-Sunnyvale-Santa Clara, CA MSA",June,2020-06-01,2020,June,957792,112919,0.105
5668,"San Jose-Sunnyvale-Santa Clara, CA MSA",July,2020-07-01,2020,July,956390,97681,0.093
5669,"San Jose-Sunnyvale-Santa Clara, CA MSA",August,2020-08-01,2020,August,968959,77606,0.07400000000000001
5670,San Juan Bautista city,March,2020-03-01,2020,March,1000,0,0.045
5671,San Juan Bautista city,April,2020-04-01,2020,April,900,100,0.114
5672,San Juan Bautista city,May,2020-05-01,2020,May,900,100,0.092
5673,San Juan Bautista city,June,2020-06-01,2020,June,900,100,0.08
5674,San Juan Bautista city,July,2020-07-01,2020,July,900,100,0.068
5675,San Juan Bautista city,August,2020-08-01,2020,August,900,0,0.051
5676,San Juan Bautista city,September,2020-09-01,2020,September,900,0,0.05
5677,San Juan Capistrano city,March,2020-03-01,2020,March,16300,600,0.036000000000000004
5678,San Juan Capistrano city,April,2020-04-01,2020,April,14200,2100,0.13
5679,San Juan Capistrano city,May,2020-05-01,2020,May,14100,2100,0.129
5680,San Juan Capistrano city,June,2020-06-01,2020,June,14700,1900,0.117
5681,San Juan Capistrano city,July,2020-07-01,2020,July,14900,1800,0.106
5682,San Juan Capistrano city,August,2020-08-01,2020,August,15000,1300,0.08
5683,San Juan Capistrano city,September,2020-09-01,2020,September,15300,1200,0.073
5684,San Leandro city,March,2020-03-01,2020,March,44200,1900,0.041
5685,San Leandro city,April,2020-04-01,2020,April,38000,8300,0.18
5686,San Leandro city,May,2020-05-01,2020,May,38100,8300,0.179
5687,San Leandro city,June,2020-06-01,2020,June,39200,8000,0.16899999999999998
5688,San Leandro city,July,2020-07-01,2020,July,39600,7100,0.152
5689,San Leandro city,August,2020-08-01,2020,August,40000,5400,0.119
5690,San Leandro city,September,2020-09-01,2020,September,40200,5300,0.117
5691,San Lorenzo CDP,March,2020-03-01,2020,March,12100,500,0.041
5692,San Lorenzo CDP,April,2020-04-01,2020,April,10500,1800,0.146
5693,San Lorenzo CDP,May,2020-05-01,2020,May,10500,1700,0.14300000000000002
5694,San Lorenzo CDP,June,2020-06-01,2020,June,10800,1800,0.14
5695,San Lorenzo CDP,July,2020-07-01,2020,July,10900,1600,0.127
5696,San Lorenzo CDP,August,2020-08-01,2020,August,11000,1200,0.099
5697,San Lorenzo CDP,September,2020-09-01,2020,September,11100,1200,0.097
5698,San Lucas CDP,March,2020-03-01,2020,March,200,0,0.208
5699,San Lucas CDP,April,2020-04-01,2020,April,100,100,0.326
5700,San Lucas CDP,May,2020-05-01,2020,May,100,100,0.274
5701,San Lucas CDP,June,2020-06-01,2020,June,100,0,0.242
5702,San Lucas CDP,July,2020-07-01,2020,July,100,0,0.207
5703,San Lucas CDP,August,2020-08-01,2020,August,100,0,0.158
5704,San Lucas CDP,September,2020-09-01,2020,September,100,0,0.153
5705,San Luis Obispo County,March,2020-03-01,2020,March,136300,5400,0.038
5706,San Luis Obispo County,April,2020-04-01,2020,April,114700,18700,0.14
5707,San Luis Obispo County,May,2020-05-01,2020,May,113600,16800,0.129
5708,San Luis Obispo County,June,2020-06-01,2020,June,117600,15200,0.115
5709,San Luis Obispo County,July,2020-07-01,2020,July,119000,13300,0.1
5710,San Luis Obispo County,August,2020-08-01,2020,August,119100,9800,0.076
5711,San Luis Obispo County,September,2020-09-01,2020,September,120800,9400,0.07200000000000001
5712,San Luis Obispo city,March,2020-03-01,2020,March,24700,900,0.034
5713,San Luis Obispo city,April,2020-04-01,2020,April,20800,3500,0.14300000000000002
5714,San Luis Obispo city,May,2020-05-01,2020,May,20600,3200,0.135
5715,San Luis Obispo city,June,2020-06-01,2020,June,21300,2900,0.121
