,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
3988,Templeton CDP,04/01/2020,2020,April,3300,200,0.069
3989,Terra Bella CDP,04/01/2020,2020,April,1100,800,0.415
3990,Thermalito CDP,04/01/2020,2020,April,1800,500,0.23600000000000002
3991,Thousand Oaks city,04/01/2020,2020,April,54700,8000,0.128
3992,Thousand Palms CDP,04/01/2020,2020,April,2500,300,0.111
3993,Three Rivers CDP,04/01/2020,2020,April,1000,100,0.122
3994,Tipton CDP,04/01/2020,2020,April,900,400,0.322
3995,Tobin CDP,04/01/2020,2020,April,0,0,0.0
3996,Tomales CDP,04/01/2020,2020,April,200,0,0.0
3997,Toro Canyon CDP,04/01/2020,2020,April,700,0,0.051
3998,Torrance city,04/01/2020,2020,April,58600,12600,0.177
3999,Tracy city,04/01/2020,2020,April,36600,7800,0.17600000000000002
4000,Tranquillity CDP,04/01/2020,2020,April,300,0,0.0
4001,Traver CDP,04/01/2020,2020,April,200,0,0.106
4002,Trinidad city,04/01/2020,2020,April,100,0,0.09699999999999999
4003,Truckee town,04/01/2020,2020,April,7850,1050,0.11699999999999999
4004,Tulare city,04/01/2020,2020,April,22500,4100,0.154
4005,Tuolumne City CDP,04/01/2020,2020,April,510,0,0.0
4006,Tupman CDP,04/01/2020,2020,April,0,0,0.38
4007,Turlock city,04/01/2020,2020,April,27200,4700,0.147
4008,Tustin city,04/01/2020,2020,April,35100,5500,0.135
4009,Twain CDP,04/01/2020,2020,April,0,0,0.0
4010,Twain Harte CDP,04/01/2020,2020,April,960,140,0.12300000000000001
4011,Twentynine Palms city,04/01/2020,2020,April,5800,800,0.11599999999999999
4012,Twin Lakes CDP,04/01/2020,2020,April,2200,400,0.14
4013,Ukiah city,04/01/2020,2020,April,5940,1310,0.18100000000000002
4014,Union City city,04/01/2020,2020,April,30300,4900,0.14
4015,Upland city,04/01/2020,2020,April,33300,5200,0.135
4016,Upper Lake CDP,04/01/2020,2020,April,390,80,0.16899999999999998
4017,Vacaville city,04/01/2020,2020,April,37900,6200,0.142
4018,Valinda CDP,04/01/2020,2020,April,9700,2600,0.212
4019,Vallejo city,04/01/2020,2020,April,46200,9400,0.168
4020,Valle Vista CDP,04/01/2020,2020,April,5700,1100,0.168
4021,Valley Acres CDP,04/01/2020,2020,April,200,100,0.36700000000000005
4022,Valley Center CDP,04/01/2020,2020,April,3500,500,0.127
4023,Valley Ranch CDP,04/01/2020,2020,April,0,0,0.0
4024,Valley Springs CDP,04/01/2020,2020,April,1740,170,0.09
4025,Val Verde CDP,04/01/2020,2020,April,1200,500,0.315
4026,Vandenberg AFB CDP,04/01/2020,2020,April,700,100,0.16399999999999998
4027,Vandenberg Village CDP,04/01/2020,2020,April,3200,400,0.107
4028,Vernon city,04/01/2020,2020,April,0,0,0.11900000000000001
4029,Victorville city,04/01/2020,2020,April,37800,7200,0.16
4030,View Park Windsor Hills CDP,04/01/2020,2020,April,4100,2000,0.32299999999999995
4031,Villa Park city,04/01/2020,2020,April,2000,400,0.149
4032,Vine Hill CDP,04/01/2020,2020,April,1500,100,0.087
4033,Vineyard CDP,04/01/2020,2020,April,11300,1600,0.124
4034,Visalia city,04/01/2020,2020,April,50100,9400,0.158
4035,Vista city,04/01/2020,2020,April,37300,7600,0.16899999999999998
4036,Walnut city,04/01/2020,2020,April,12000,2400,0.163
4037,Walnut Creek city,04/01/2020,2020,April,28300,3500,0.111
4038,Walnut Grove CDP,04/01/2020,2020,April,500,200,0.267
4039,Walnut Park CDP,04/01/2020,2020,April,5800,1500,0.21
4040,Wasco city,04/01/2020,2020,April,6500,1900,0.22899999999999998
4041,Waterford city,04/01/2020,2020,April,2700,700,0.21600000000000003
4042,Watsonville city,04/01/2020,2020,April,19500,6600,0.254
4043,Weaverville CDP,04/01/2020,2020,April,980,190,0.162
4044,Weed city,04/01/2020,2020,April,860,210,0.19399999999999998
4045,Weedpatch CDP,04/01/2020,2020,April,800,200,0.20199999999999999
4046,Weldon CDP,04/01/2020,2020,April,700,200,0.248
4047,West Athens CDP,04/01/2020,2020,April,3300,1100,0.258
4048,West Bishop CDP,04/01/2020,2020,April,1090,120,0.096
4049,West Carson CDP,04/01/2020,2020,April,8400,1800,0.174
4050,West Covina city,04/01/2020,2020,April,39200,10300,0.209
4051,West Hollywood city,04/01/2020,2020,April,20100,6200,0.235
4052,Westlake Village city,04/01/2020,2020,April,2900,400,0.11699999999999999
4053,West Menlo Park CDP,04/01/2020,2020,April,1900,300,0.142
4054,Westminster city,04/01/2020,2020,April,34200,7800,0.18600000000000003
4055,West Modesto CDP,04/01/2020,2020,April,1500,900,0.369
4056,Westmont CDP,04/01/2020,2020,April,10000,3700,0.271
4057,Westmorland city,04/01/2020,2020,April,700,200,0.247
4058,West Point CDP,04/01/2020,2020,April,140,0,0.0
4059,West Puente Valley CDP,04/01/2020,2020,April,8300,3300,0.284
4060,West Sacramento city,04/01/2020,2020,April,21200,3300,0.135
4061,West Whittier Los Nietos CDP,04/01/2020,2020,April,9400,1600,0.14400000000000002
4062,Westwood CDP,04/01/2020,2020,April,510,20,0.034
4063,Wheatland city,04/01/2020,2020,April,1400,300,0.177
4064,Whitehawk CDP,04/01/2020,2020,April,10,0,0.0
4065,Whittier city,04/01/2020,2020,April,32600,7600,0.19
4066,Wildomar city,04/01/2020,2020,April,14800,2700,0.154
4067,Wilkerson CDP,04/01/2020,2020,April,200,40,0.157
4068,Williams city,04/01/2020,2020,April,2010,460,0.187
4069,Willits city,04/01/2020,2020,April,1600,190,0.10800000000000001
4070,Willowbrook CDP,04/01/2020,2020,April,6900,2700,0.278
4071,Willow Creek CDP,04/01/2020,2020,April,500,0,0.0
4072,Willows city,04/01/2020,2020,April,1860,440,0.19
4073,Wilton CDP,04/01/2020,2020,April,2000,200,0.08199999999999999
4074,Winchester CDP,04/01/2020,2020,April,1000,200,0.177
4075,Windsor town,04/01/2020,2020,April,11800,2000,0.145
4076,Winters city,04/01/2020,2020,April,3200,400,0.12300000000000001
4077,Winton CDP,04/01/2020,2020,April,3800,1600,0.292
4078,Wofford Heights CDP,04/01/2020,2020,April,500,100,0.19
4079,Woodcrest CDP,04/01/2020,2020,April,7600,700,0.084
4080,Woodlake city,04/01/2020,2020,April,2600,500,0.174
4081,Woodland city,04/01/2020,2020,April,25000,4100,0.141
4082,Woodville CDP,04/01/2020,2020,April,600,200,0.267
4083,Wrightwood CDP,04/01/2020,2020,April,1600,200,0.099
4084,Yorba Linda city,04/01/2020,2020,April,28800,3600,0.11199999999999999
4085,Yosemite Lakes CDP,04/01/2020,2020,April,1700,300,0.168
4086,Yosemite Valley CDP,04/01/2020,2020,April,900,80,0.085
4087,Yountville town,04/01/2020,2020,April,900,200,0.19
4088,Yreka city,04/01/2020,2020,April,2470,490,0.16399999999999998
4089,Yuba City city,04/01/2020,2020,April,25600,5900,0.187
4090,Yucaipa city,04/01/2020,2020,April,21200,3100,0.129
4091,Yucca Valley town,04/01/2020,2020,April,7100,1600,0.182
4092,California,05/01/2020,2020,May,15473900,2949400,0.16
4093,California,05/01/2020,2020,May,15463700,3043100,0.16399999999999998
4094,Alameda County,05/01/2020,2020,May,693400,110100,0.13699999999999998
4095,Alpine County,05/01/2020,2020,May,380,110,0.22
4096,Amador County,05/01/2020,2020,May,11910,2160,0.153
4097,Butte County,05/01/2020,2020,May,79600,12200,0.133
4098,Calaveras County,05/01/2020,2020,May,17610,2410,0.121
4099,Colusa County,05/01/2020,2020,May,8070,2100,0.20600000000000002
4100,Contra Costa County,05/01/2020,2020,May,460200,73900,0.138
4101,Del Norte County,05/01/2020,2020,May,7990,1210,0.132
4102,El Dorado County,05/01/2020,2020,May,76900,13700,0.151
4103,Fresno County,05/01/2020,2020,May,377200,69200,0.155
4104,Glenn County,05/01/2020,2020,May,9580,1520,0.13699999999999998
4105,Humboldt County,05/01/2020,2020,May,53600,7300,0.12
4106,Imperial County,05/01/2020,2020,May,51900,19900,0.27699999999999997
4107,Inyo County,05/01/2020,2020,May,6950,990,0.125
4108,Kern County,05/01/2020,2020,May,301700,66600,0.18100000000000002
4109,Kings County,05/01/2020,2020,May,48100,8900,0.156
4110,Lake County,05/01/2020,2020,May,21530,3950,0.155
4111,Lassen County,05/01/2020,2020,May,7990,890,0.1
4112,Los Angeles County,05/01/2020,2020,May,3735500,980600,0.20800000000000002
4113,Los Angeles County,05/01/2020,2020,May,3738600,998700,0.21100000000000002
4114,Madera County,05/01/2020,2020,May,53000,9400,0.151
4115,Marin County,05/01/2020,2020,May,114200,13400,0.105
4116,Mariposa County,05/01/2020,2020,May,6390,1360,0.17600000000000002
4117,Mendocino County,05/01/2020,2020,May,31560,4850,0.133
4118,Merced County,05/01/2020,2020,May,94800,18600,0.16399999999999998
4119,Modoc County,05/01/2020,2020,May,2690,330,0.109
4120,Mono County,05/01/2020,2020,May,4490,1860,0.293
4121,Monterey County,05/01/2020,2020,May,167000,33200,0.166
4122,Napa County,05/01/2020,2020,May,61700,10500,0.145
4123,Nevada County,05/01/2020,2020,May,33960,5740,0.14400000000000002
4124,Orange County,05/01/2020,2020,May,1320500,227100,0.147
4125,Placer County,05/01/2020,2020,May,158000,22600,0.125
4126,Plumas County,05/01/2020,2020,May,5320,1060,0.16699999999999998
4127,Riverside County,05/01/2020,2020,May,913000,172800,0.159
4128,Sacramento County,05/01/2020,2020,May,596100,99300,0.14300000000000002
4129,San Benito County,05/01/2020,2020,May,26100,4800,0.155
4130,San Bernardino County,05/01/2020,2020,May,803300,131400,0.141
4131,San Diego County,05/01/2020,2020,May,1314200,235700,0.152
4132,San Francisco County,05/01/2020,2020,May,483100,70400,0.127
4133,San Joaquin County,05/01/2020,2020,May,268000,53500,0.166
4134,San Luis Obispo County,05/01/2020,2020,May,113600,16800,0.129
4135,San Mateo County,05/01/2020,2020,May,381400,48000,0.11199999999999999
4136,Santa Barbara County,05/01/2020,2020,May,182600,27100,0.129
4137,Santa Clara County,05/01/2020,2020,May,898300,113400,0.11199999999999999
4138,Santa Cruz County,05/01/2020,2020,May,111700,19000,0.146
4139,Shasta County,05/01/2020,2020,May,61800,9200,0.13
4140,Sierra County,05/01/2020,2020,May,1000,140,0.125
4141,Siskiyou County,05/01/2020,2020,May,13690,2130,0.135
4142,Solano County,05/01/2020,2020,May,171200,28800,0.14400000000000002
4143,Sonoma County,05/01/2020,2020,May,214900,32100,0.13
4144,Stanislaus County,05/01/2020,2020,May,194500,37600,0.162
4145,Sutter County,05/01/2020,2020,May,36100,6900,0.161
4146,Tehama County,05/01/2020,2020,May,21340,3090,0.127
4147,Trinity County,05/01/2020,2020,May,3820,460,0.107
4148,Tulare County,05/01/2020,2020,May,157900,35000,0.182
4149,Tuolumne County,05/01/2020,2020,May,17380,3450,0.166
4150,Ventura County,05/01/2020,2020,May,350100,55400,0.13699999999999998
4151,Yolo County,05/01/2020,2020,May,90900,10800,0.106
4152,Yuba County,05/01/2020,2020,May,24200,4400,0.154
4153,Anaheim-Santa Ana-Irvine MD,05/01/2020,2020,May,1320500,227100,0.147
4154,Bakersfield MSA,05/01/2020,2020,May,301700,66600,0.18100000000000002
4155,Chico MSA,05/01/2020,2020,May,79600,12200,0.133
4156,El Centro MSA,05/01/2020,2020,May,51900,19900,0.27699999999999997
4157,Fresno MSA,05/01/2020,2020,May,377200,69200,0.155
4158,Hanford-Corcoran MSA,05/01/2020,2020,May,48100,8900,0.156
4159,Los Angeles-Long Beach-Glendale MD,05/01/2020,2020,May,3735500,980600,0.20800000000000002
4160,Los Angeles-Long Beach-Glendale MD,05/01/2020,2020,May,3738600,998700,0.21100000000000002
4161,Madera MSA,05/01/2020,2020,May,53000,9400,0.151
4162,Merced MSA,05/01/2020,2020,May,94800,18600,0.16399999999999998
4163,Modesto MSA,05/01/2020,2020,May,194500,37600,0.162
4164,Napa MSA,05/01/2020,2020,May,61700,10500,0.145
4165,Oakland-Hayward-Berkeley MD,05/01/2020,2020,May,1153500,183900,0.138
4166,Oxnard-Thousand Oaks-Ventura MSA,05/01/2020,2020,May,350100,55400,0.13699999999999998
4167,Redding MSA,05/01/2020,2020,May,61800,9200,0.13
4168,Riverside-San Bernardino-Ontario MSA,05/01/2020,2020,May,1716400,304300,0.151
4169,Sacramento--Roseville--Arden-Arcade MSA,05/01/2020,2020,May,921900,146400,0.13699999999999998
4170,Salinas MSA,05/01/2020,2020,May,167000,33200,0.166
4171,San Diego-Carlsbad MSA,05/01/2020,2020,May,1314200,235700,0.152
4172,San Francisco-Redwood City-South San Francisco MD,05/01/2020,2020,May,864500,118400,0.12
4173,San Jose-Sunnyvale-Santa Clara MSA,05/01/2020,2020,May,924400,118200,0.113
4174,San Luis Obispo-Paso Robles-Arroyo Grande MSA,05/01/2020,2020,May,113600,16800,0.129
4175,San Rafael MD,05/01/2020,2020,May,114200,13400,0.105
4176,Santa Cruz-Watsonville MSA,05/01/2020,2020,May,111700,19000,0.146
4177,Santa Maria-Santa Barbara MSA,05/01/2020,2020,May,182600,27100,0.129
4178,Santa Rosa MSA,05/01/2020,2020,May,214900,32100,0.13
4179,Stockton-Lodi MSA,05/01/2020,2020,May,268000,53500,0.166
4180,Vallejo-Fairfield MSA,05/01/2020,2020,May,171200,28800,0.14400000000000002
4181,Visalia-Porterville MSA,05/01/2020,2020,May,157900,35000,0.182
4182,Yuba City MSA,05/01/2020,2020,May,60300,11300,0.158
4183,Acton CDP,05/01/2020,2020,May,2700,500,0.163
4184,Adelanto city,05/01/2020,2020,May,7700,1900,0.19899999999999998
4185,Agoura Hills city,05/01/2020,2020,May,8500,1800,0.17800000000000002
4186,Alameda city,05/01/2020,2020,May,34100,5400,0.13699999999999998
4187,Alamo CDP,05/01/2020,2020,May,5500,500,0.084
4188,Albany city,05/01/2020,2020,May,8100,1100,0.11699999999999999
4189,Alhambra city,05/01/2020,2020,May,34200,10500,0.23399999999999999
4190,Aliso Viejo city,05/01/2020,2020,May,24900,3700,0.13
4191,Alondra Park CDP,05/01/2020,2020,May,2900,1100,0.272
4192,Alpaugh CDP,05/01/2020,2020,May,300,200,0.36
4193,Alpine Village CDP,05/01/2020,2020,May,60,0,0.0
4194,Altadena CDP,05/01/2020,2020,May,17700,3400,0.162
4195,Alta Sierra CDP,05/01/2020,2020,May,2610,220,0.078
4196,Alturas city,05/01/2020,2020,May,910,130,0.12300000000000001
4197,Amador City city,05/01/2020,2020,May,60,10,0.18899999999999997
4198,American Canyon city,05/01/2020,2020,May,8500,1900,0.184
4199,Anaheim city,05/01/2020,2020,May,139600,29100,0.172
4200,Anderson city,05/01/2020,2020,May,3500,500,0.11900000000000001
4201,Angels City city,05/01/2020,2020,May,1580,10,0.004
4202,Angwin CDP,05/01/2020,2020,May,1700,300,0.134
4203,Antioch city,05/01/2020,2020,May,41300,8700,0.175
4204,Apple Valley town,05/01/2020,2020,May,24100,3500,0.127
4205,Aptos CDP,05/01/2020,2020,May,2700,200,0.053
4206,Aptos Hills Larkin Valley CDP,05/01/2020,2020,May,800,200,0.21899999999999997
4207,Arbuckle CDP,05/01/2020,2020,May,1430,500,0.257
4208,Arcadia city,05/01/2020,2020,May,22100,4700,0.17600000000000002
4209,Arcata city,05/01/2020,2020,May,8100,1700,0.17600000000000002
4210,Arden Arcade CDP,05/01/2020,2020,May,38300,8400,0.18
4211,Armona CDP,05/01/2020,2020,May,1100,300,0.19899999999999998
4212,Arnold CDP,05/01/2020,2020,May,920,160,0.152
4213,Aromas CDP (Monterey Co),05/01/2020,2020,May,1300,200,0.126
4214,Arroyo Grande city,05/01/2020,2020,May,7500,1000,0.114
4215,Artesia city,05/01/2020,2020,May,5900,1300,0.175
4216,Arvin city,05/01/2020,2020,May,7000,1500,0.172
4217,Ashland CDP,05/01/2020,2020,May,9000,2300,0.205
4218,Atascadero city,05/01/2020,2020,May,12500,1700,0.121
4219,Atherton town,05/01/2020,2020,May,2700,400,0.122
4220,Atwater city,05/01/2020,2020,May,9900,1900,0.162
4221,Auberry CDP,05/01/2020,2020,May,900,100,0.096
4222,Auburn city,05/01/2020,2020,May,5800,900,0.136
4223,August CDP,05/01/2020,2020,May,2600,1100,0.295
4224,Avalon city,05/01/2020,2020,May,1600,0,0.022000000000000002
4225,Avenal city,05/01/2020,2020,May,2900,900,0.23600000000000002
4226,Avery CDP,05/01/2020,2020,May,240,70,0.239
4227,Avocado Heights CDP,05/01/2020,2020,May,5400,1800,0.24600000000000002
4228,Azusa city,05/01/2020,2020,May,18500,4200,0.18600000000000003
4229,Bakersfield city,05/01/2020,2020,May,141800,28800,0.16899999999999998
4230,Baldwin Park city,05/01/2020,2020,May,25300,7200,0.222
4231,Banning city,05/01/2020,2020,May,9200,2300,0.198
4232,Barstow city,05/01/2020,2020,May,7300,1700,0.185
4233,Bay Point CDP,05/01/2020,2020,May,9500,2800,0.226
4234,Beale AFB CDP,05/01/2020,2020,May,200,0,0.21100000000000002
4235,Bear Valley CDP,05/01/2020,2020,May,20,0,0.0
4236,Bear Valley Springs CDP,05/01/2020,2020,May,1500,200,0.096
4237,Beaumont city,05/01/2020,2020,May,19200,3400,0.152
4238,Beckwourth CDP,05/01/2020,2020,May,90,0,0.0
4239,Belden CDP,05/01/2020,2020,May,0,0,0.0
4240,Bell city,05/01/2020,2020,May,11100,3000,0.21100000000000002
4241,Bellflower city,05/01/2020,2020,May,26600,7800,0.22699999999999998
4242,Bell Gardens city,05/01/2020,2020,May,13200,3500,0.21
4243,Belmont city,05/01/2020,2020,May,14000,1300,0.084
4244,Benicia city,05/01/2020,2020,May,12300,1600,0.11599999999999999
4245,Ben Lomond CDP,05/01/2020,2020,May,3100,200,0.071
4246,Berkeley city,05/01/2020,2020,May,51700,5400,0.094
4247,Bermuda Dunes CDP,05/01/2020,2020,May,2900,500,0.14300000000000002
4248,Bertsch Oceanview CDP,05/01/2020,2020,May,560,240,0.29600000000000004
4249,Bethel Island CDP,05/01/2020,2020,May,700,100,0.106
4250,Beverly Hills city,05/01/2020,2020,May,13500,2700,0.16699999999999998
4251,Big Bear City CDP,05/01/2020,2020,May,4900,500,0.08800000000000001
4252,Big Bear Lake city,05/01/2020,2020,May,2000,100,0.055999999999999994
4253,Biggs city,05/01/2020,2020,May,700,100,0.079
4254,Big Pine CDP,05/01/2020,2020,May,560,110,0.161
4255,Big River CDP,05/01/2020,2020,May,300,100,0.20800000000000002
4256,Biola CDP,05/01/2020,2020,May,500,300,0.387
4257,Bishop city,05/01/2020,2020,May,1300,160,0.10800000000000001
4258,Bloomington CDP,05/01/2020,2020,May,8500,1600,0.155
4259,Blue Lake city,05/01/2020,2020,May,400,100,0.11800000000000001
4260,Bluewater CDP,05/01/2020,2020,May,0,0,0.235
4261,Blythe city,05/01/2020,2020,May,4700,900,0.165
4262,Bodega Bay CDP,05/01/2020,2020,May,400,0,0.095
4263,Bodfish CDP,05/01/2020,2020,May,300,100,0.19399999999999998
4264,Bonadelle Ranchos Madera Ranchos CDP,05/01/2020,2020,May,3600,400,0.10800000000000001
4265,Bonita CDP,05/01/2020,2020,May,4900,1400,0.21899999999999997
4266,Bootjack CDP,05/01/2020,2020,May,270,90,0.251
4267,Boron CDP,05/01/2020,2020,May,700,100,0.12
4268,Boronda CDP,05/01/2020,2020,May,300,400,0.583
4269,Bostonia CDP,05/01/2020,2020,May,6400,2300,0.263
4270,Boulder Creek CDP,05/01/2020,2020,May,2100,400,0.17600000000000002
4271,Boyes Hot Springs CDP,05/01/2020,2020,May,3400,300,0.08800000000000001
4272,Bradbury city,05/01/2020,2020,May,300,0,0.07200000000000001
4273,Bradley CDP,05/01/2020,2020,May,0,0,0.0
4274,Brawley city,05/01/2020,2020,May,7700,2000,0.21
4275,Brea city,05/01/2020,2020,May,18900,3300,0.149
4276,Brentwood city,05/01/2020,2020,May,24100,4200,0.147
4277,Bret Harte CDP,05/01/2020,2020,May,1500,600,0.299
4278,Brisbane city,05/01/2020,2020,May,2400,300,0.11699999999999999
4279,Broadmoor CDP,05/01/2020,2020,May,2900,700,0.205
4280,Bucks Lake CDP,05/01/2020,2020,May,10,0,0.0
4281,Buellton city,05/01/2020,2020,May,2400,100,0.057
4282,Buena Park city,05/01/2020,2020,May,32800,6900,0.174
4283,Burbank city,05/01/2020,2020,May,43000,13500,0.239
4284,Burlingame city,05/01/2020,2020,May,15400,1600,0.09699999999999999
4285,Burney CDP,05/01/2020,2020,May,1000,200,0.135
4286,Buttonwillow CDP,05/01/2020,2020,May,500,100,0.188
4287,Byron CDP,05/01/2020,2020,May,500,100,0.23800000000000002
4288,Bystrom CDP,05/01/2020,2020,May,1100,200,0.17
4289,Cabazon CDP,05/01/2020,2020,May,1100,200,0.136
4290,Calabasas city,05/01/2020,2020,May,9100,1400,0.136
4291,Calexico city,05/01/2020,2020,May,11300,7800,0.409
4292,California City city,05/01/2020,2020,May,3200,1600,0.326
4293,Calimesa city,05/01/2020,2020,May,2900,600,0.158
4294,Calipatria city,05/01/2020,2020,May,800,400,0.337
4295,Calistoga city,05/01/2020,2020,May,2200,500,0.187
4296,Calwa CDP,05/01/2020,2020,May,700,300,0.266
4297,Camarillo city,05/01/2020,2020,May,28500,4100,0.127
4298,Cambria CDP,05/01/2020,2020,May,2100,400,0.162
4299,Cameron Park CDP,05/01/2020,2020,May,8200,1300,0.14
4300,Campbell city,05/01/2020,2020,May,22900,2600,0.10300000000000001
4301,Cantua Creek CDP,05/01/2020,2020,May,100,0,0.14400000000000002
4302,Canyondam CDP,05/01/2020,2020,May,10,40,0.8370000000000001
4303,Canyon Lake city,05/01/2020,2020,May,4600,400,0.085
4304,Capitola city,05/01/2020,2020,May,4600,200,0.045
4305,Carlsbad city,05/01/2020,2020,May,45900,7300,0.138
4306,Carmel by the Sea city,05/01/2020,2020,May,1300,0,0.005
4307,Carmel Valley Village CDP,05/01/2020,2020,May,1900,600,0.237
4308,Carmichael CDP,05/01/2020,2020,May,25800,4300,0.14300000000000002
4309,Carpinteria city,05/01/2020,2020,May,6100,800,0.11
4310,Carson city,05/01/2020,2020,May,33600,9000,0.21100000000000002
4311,Cartago CDP,05/01/2020,2020,May,0,0,0.0
4312,Caruthers CDP,05/01/2020,2020,May,1000,200,0.151
4313,Casa Conejo CDP,05/01/2020,2020,May,1400,400,0.20600000000000002
4314,Casa de Oro Mount Helix CDP,05/01/2020,2020,May,8100,1400,0.14400000000000002
4315,Castro Valley CDP,05/01/2020,2020,May,26100,3800,0.126
4316,Castroville CDP,05/01/2020,2020,May,2500,1000,0.28300000000000003
4317,Cathedral City city,05/01/2020,2020,May,21900,5700,0.20600000000000002
4318,Cayucos CDP,05/01/2020,2020,May,1100,200,0.126
4319,Ceres city,05/01/2020,2020,May,17100,3500,0.172
4320,Cerritos city,05/01/2020,2020,May,18700,4100,0.18
4321,Challenge Brownsville CDP,05/01/2020,2020,May,200,0,0.0
4322,Channel Islands Beach CDP,05/01/2020,2020,May,1300,600,0.32299999999999995
4323,Charter Oak CDP,05/01/2020,2020,May,3600,1200,0.242
4324,Cherryland CDP,05/01/2020,2020,May,6000,1800,0.22899999999999998
4325,Cherry Valley CDP,05/01/2020,2020,May,2800,300,0.1
4326,Chester CDP,05/01/2020,2020,May,680,110,0.141
4327,Chico city,05/01/2020,2020,May,38500,6200,0.138
4328,Chilcoot Vinton CDP,05/01/2020,2020,May,0,30,1.0
4329,China Lake Acres CDP,05/01/2020,2020,May,500,100,0.156
4330,Chinese Camp CDP,05/01/2020,2020,May,30,0,0.0
4331,Chino city,05/01/2020,2020,May,36400,6400,0.15
4332,Chino Hills city,05/01/2020,2020,May,38400,5600,0.126
4333,Chowchilla city,05/01/2020,2020,May,3900,600,0.135
4334,Chualar CDP,05/01/2020,2020,May,500,100,0.183
4335,Chula Vista city,05/01/2020,2020,May,101800,20800,0.17
4336,Citrus CDP,05/01/2020,2020,May,4000,700,0.152
4337,Citrus Heights city,05/01/2020,2020,May,36600,6300,0.147
4338,Claremont city,05/01/2020,2020,May,12700,2000,0.139
4339,Clayton city,05/01/2020,2020,May,4900,400,0.067
4340,Clearlake city,05/01/2020,2020,May,4300,1580,0.26899999999999996
4341,Clearlake Oaks CDP,05/01/2020,2020,May,570,150,0.209
4342,Clio CDP,05/01/2020,2020,May,30,0,0.0
4343,Cloverdale city,05/01/2020,2020,May,3700,300,0.076
4344,Clovis city,05/01/2020,2020,May,47500,7000,0.129
4345,Clyde CDP,05/01/2020,2020,May,300,0,0.105
4346,Coachella city,05/01/2020,2020,May,15600,4600,0.226
4347,Coalinga city,05/01/2020,2020,May,5300,1000,0.163
4348,Cobb CDP,05/01/2020,2020,May,390,50,0.106
4349,Colfax city,05/01/2020,2020,May,800,200,0.185
4350,Colton city,05/01/2020,2020,May,20500,3400,0.141
4351,Columbia CDP,05/01/2020,2020,May,600,290,0.33
4352,Colusa city,05/01/2020,2020,May,2270,480,0.174
4353,Commerce city,05/01/2020,2020,May,4300,1400,0.24100000000000002
4354,Compton city,05/01/2020,2020,May,28200,8300,0.228
4355,Concord city,05/01/2020,2020,May,54200,8800,0.14
4356,Concow CDP,05/01/2020,2020,May,200,100,0.261
4357,Copperopolis CDP,05/01/2020,2020,May,1950,290,0.129
4358,Corcoran city,05/01/2020,2020,May,3400,1100,0.23800000000000002
4359,Corning city,05/01/2020,2020,May,2460,420,0.146
4360,Corona city,05/01/2020,2020,May,70800,11100,0.135
4361,Coronado city,05/01/2020,2020,May,6300,800,0.11199999999999999
4362,Corralitos CDP,05/01/2020,2020,May,1000,100,0.131
4363,Corte Madera town,05/01/2020,2020,May,4500,700,0.133
4364,Costa Mesa city,05/01/2020,2020,May,54000,8600,0.138
4365,Cotati city,05/01/2020,2020,May,3600,600,0.13699999999999998
4366,Coto de Caza CDP,05/01/2020,2020,May,6300,1000,0.14
4367,Cottonwood CDP,05/01/2020,2020,May,1200,200,0.124
4368,Country Club CDP,05/01/2020,2020,May,3600,1300,0.26
4369,Covelo CDP,05/01/2020,2020,May,340,60,0.159
4370,Covina city,05/01/2020,2020,May,17500,4900,0.217
4371,Crescent City city,05/01/2020,2020,May,1220,150,0.11
4372,Crescent Mills CDP,05/01/2020,2020,May,90,0,0.0
4373,Crestline CDP,05/01/2020,2020,May,3700,400,0.091
4374,C Road CDP,05/01/2020,2020,May,40,10,0.222
4375,Crockett CDP,05/01/2020,2020,May,1400,300,0.191
4376,Cromberg CDP,05/01/2020,2020,May,60,0,0.0
4377,Cudahy city,05/01/2020,2020,May,7400,1800,0.19899999999999998
4378,Culver City city,05/01/2020,2020,May,16900,3800,0.182
4379,Cupertino city,05/01/2020,2020,May,25400,1900,0.07
4380,Cutler CDP,05/01/2020,2020,May,1900,500,0.192
4381,Cypress city,05/01/2020,2020,May,20400,3800,0.155
4382,Daly City city,05/01/2020,2020,May,54400,11000,0.16899999999999998
4383,Dana Point city,05/01/2020,2020,May,15300,2400,0.133
4384,Danville town,05/01/2020,2020,May,17100,1900,0.1
4385,Darwin CDP,05/01/2020,2020,May,10,0,0.0
4386,Davis city,05/01/2020,2020,May,30300,2500,0.075
4387,Day Valley CDP,05/01/2020,2020,May,1300,200,0.139
4388,Deer Park CDP,05/01/2020,2020,May,300,100,0.225
4389,Del Aire CDP,05/01/2020,2020,May,4000,800,0.17300000000000001
4390,Delano city,05/01/2020,2020,May,14300,7300,0.33899999999999997
4391,Delhi CDP,05/01/2020,2020,May,4400,800,0.156
4392,Delleker CDP,05/01/2020,2020,May,120,0,0.0
4393,Del Mar city,05/01/2020,2020,May,1900,200,0.114
4394,Del Monte Forest CDP,05/01/2020,2020,May,1300,300,0.188
4395,Del Rey CDP,05/01/2020,2020,May,500,100,0.193
4396,Del Rey Oaks city,05/01/2020,2020,May,700,200,0.17800000000000002
4397,Denair CDP,05/01/2020,2020,May,2000,300,0.151
