,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
165,Bishop city,01/01/2020,2020,January,1570,50,0.033
166,Bloomington CDP,01/01/2020,2020,January,9800,400,0.044000000000000004
167,Blue Lake city,01/01/2020,2020,January,500,0,0.04
168,Bluewater CDP,01/01/2020,2020,January,0,0,0.063
169,Blythe city,01/01/2020,2020,January,5500,300,0.044000000000000004
170,Bodega Bay CDP,01/01/2020,2020,January,500,0,0.02
171,Bodfish CDP,01/01/2020,2020,January,400,0,0.09300000000000001
172,Bonadelle Ranchos Madera Ranchos CDP,01/01/2020,2020,January,4000,200,0.055999999999999994
173,Bonita CDP,01/01/2020,2020,January,5800,300,0.051
174,Bootjack CDP,01/01/2020,2020,January,280,30,0.094
175,Boron CDP,01/01/2020,2020,January,800,0,0.055
176,Boronda CDP,01/01/2020,2020,January,300,300,0.43
177,Bostonia CDP,01/01/2020,2020,January,7600,500,0.064
178,Boulder Creek CDP,01/01/2020,2020,January,2400,200,0.076
179,Boyes Hot Springs CDP,01/01/2020,2020,January,4000,100,0.019
180,Bradbury city,01/01/2020,2020,January,500,0,0.015
181,Bradley CDP,01/01/2020,2020,January,100,0,0.0
182,Brawley city,01/01/2020,2020,January,8800,1600,0.155
183,Brea city,01/01/2020,2020,January,22600,700,0.027999999999999997
184,Brentwood city,01/01/2020,2020,January,28400,1100,0.037000000000000005
185,Bret Harte CDP,01/01/2020,2020,January,1700,300,0.135
186,Brisbane city,01/01/2020,2020,January,2900,100,0.022000000000000002
187,Broadmoor CDP,01/01/2020,2020,January,3400,200,0.043
188,Bucks Lake CDP,01/01/2020,2020,January,10,0,0.0
189,Buellton city,01/01/2020,2020,January,2600,100,0.02
190,Buena Park city,01/01/2020,2020,January,39100,1300,0.033
191,Burbank city,01/01/2020,2020,January,57100,3100,0.051
192,Burlingame city,01/01/2020,2020,January,18200,400,0.021
193,Burney CDP,01/01/2020,2020,January,1200,100,0.055999999999999994
194,Buttonwillow CDP,01/01/2020,2020,January,500,100,0.09
195,Byron CDP,01/01/2020,2020,January,600,0,0.061
196,Bystrom CDP,01/01/2020,2020,January,1300,100,0.069
197,Cabazon CDP,01/01/2020,2020,January,1300,0,0.035
198,Calabasas city,01/01/2020,2020,January,12100,300,0.027000000000000003
199,Calexico city,01/01/2020,2020,January,12900,5600,0.301
200,California City city,01/01/2020,2020,January,3900,800,0.171
201,Calimesa city,01/01/2020,2020,January,3400,200,0.042
202,Calipatria city,01/01/2020,2020,January,900,300,0.225
203,Calistoga city,01/01/2020,2020,January,2500,100,0.047
204,Calwa CDP,01/01/2020,2020,January,800,100,0.14800000000000002
205,Camarillo city,01/01/2020,2020,January,33100,1000,0.028999999999999998
206,Cambria CDP,01/01/2020,2020,January,2600,100,0.040999999999999995
207,Cameron Park CDP,01/01/2020,2020,January,9500,300,0.034
208,Campbell city,01/01/2020,2020,January,26200,600,0.023
209,Cantua Creek CDP,01/01/2020,2020,January,100,0,0.075
210,Canyondam CDP,01/01/2020,2020,January,10,30,0.738
211,Canyon Lake city,01/01/2020,2020,January,5300,100,0.021
212,Capitola city,01/01/2020,2020,January,5400,100,0.018000000000000002
213,Carlsbad city,01/01/2020,2020,January,53800,1700,0.031
214,Carmel by the Sea city,01/01/2020,2020,January,1500,0,0.003
215,Carmel Valley Village CDP,01/01/2020,2020,January,2200,400,0.14400000000000002
216,Carmichael CDP,01/01/2020,2020,January,29700,1200,0.039
217,Carpinteria city,01/01/2020,2020,January,6800,300,0.039
218,Carson city,01/01/2020,2020,January,44600,2300,0.049
219,Cartago CDP,01/01/2020,2020,January,0,0,0.0
220,Caruthers CDP,01/01/2020,2020,January,1100,100,0.079
221,Casa Conejo CDP,01/01/2020,2020,January,1600,100,0.062
222,Casa de Oro Mount Helix CDP,01/01/2020,2020,January,9500,300,0.031
223,Castro Valley CDP,01/01/2020,2020,January,30800,900,0.027999999999999997
224,Castroville CDP,01/01/2020,2020,January,2800,600,0.17600000000000002
225,Cathedral City city,01/01/2020,2020,January,25400,900,0.034
226,Cayucos CDP,01/01/2020,2020,January,1300,0,0.031
227,Ceres city,01/01/2020,2020,January,19900,1600,0.076
228,Cerritos city,01/01/2020,2020,January,24900,1000,0.037000000000000005
229,Challenge Brownsville CDP,01/01/2020,2020,January,300,0,0.0
230,Channel Islands Beach CDP,01/01/2020,2020,January,1500,200,0.109
231,Charter Oak CDP,01/01/2020,2020,January,4800,300,0.054000000000000006
