county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Lassen,4/18/20,,,,,
Los Angeles,4/18/20,3085,830,658,654,
Madera,4/18/20,,,,,
Marin,4/18/20,112,72,44,,
Mariposa,4/18/20,44,,,,
Mendocino,4/18/20,128,82,,,
Merced,4/18/20,,,,,
Mono,4/18/20,48,,,,
Modoc,4/18/20,,,,,
Monterey,4/18/20,,,108,15,
Napa,4/18/20,104,47,18,,
Nevada,4/18/20,27,,,,
Orange,4/18/20,276,31,78,76,
Placer,4/18/20,15,15,,,
Plumas,4/18/20,,,,,
Riverside,4/18/20,422,303,15,15,
Sacramento,4/18/20,316,63,63,63,
San Benito,4/18/20,67,37,,,
San Bernardino,4/18/20,50,37,20,,20
San Diego,4/18/20,2029,409,45,45,
San Francisco,4/18/20,1271,710,,,
San Joaquin,4/18/20,,,,,
San Luis Obispo,4/18/20,154,,14,14,
San Mateo,4/18/20,94,94,,,
Santa Barbara,4/18/20,76,,,,
Santa Clara,4/18/20,453,234,105,105,
Santa Cruz,4/18/20,27,19,35,,
Shasta,4/18/20,20,,,,
Sierra,4/18/20,,,,,
Siskiyou,4/18/20,,,,,
Solano,4/18/20,,,,,
Sonoma,4/18/20,45,45,,,
Stanislaus,4/18/20,121,,,,
Sutter,4/18/20,16,16,,,
Tehama,4/18/20,,,,,
Trinity,4/18/20,,,,,
Tulare,4/18/20,56,,,,
Tuolumne,4/18/20,,,,,
Ventura,4/18/20,398,275,,,
Yolo,4/18/20,246,206,,,
Yuba,4/18/20,35,18,,,
Alameda,4/19/20,403,328,91,85,
Alpine,4/19/20,,,,,
Amador,4/19/20,,,,,
Butte,4/19/20,94,94,,,
Calaveras,4/19/20,20,20,,,
Colusa,4/19/20,,,,,
Contra Costa,4/19/20,340,,,,
Del Norte,4/19/20,,,,,
El Dorado,4/19/20,,,,,
Fresno,4/19/20,305,250,28,28,
Glenn,4/19/20,,,,,
