county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Shasta County,7/7/20,97,97,,,
Sierra County,7/7/20,,,,,
Siskiyou County,7/7/20,,,,,
Solano County,7/7/20,200,136,,,
Sonoma County,7/7/20,170,139,,,
Stanislaus County,7/7/20,134,111,,,
Sutter County,7/7/20,21,21,,,
Tehama County,7/7/20,,,,,
Trinity County,7/7/20,,,,,
Tulare County,7/7/20,113,64,,,
Tuolumne County,7/7/20,50,34,,,
Ventura County,7/7/20,388,114,,,
Yolo County,7/7/20,207,98,,,
Yuba County,7/7/20,12,,,,
Wilton Rancheria Tribe,7/7/20,,,,,
Bishop Paiute Tribal Council,7/7/20,,,,,
Alameda County,7/8/20,652,488,91,91,
Alpine County,7/8/20,,,,,
Amador County,7/8/20,,,,,
Butte County,7/8/20,128,128,,,
Calaveras County,7/8/20,30,26,,,
Colusa County,7/8/20,,,,,
Contra Costa County,7/8/20,566,443,,,
Del Norte County,7/8/20,28,28,,,
El Dorado County,7/8/20,46,38,,,
Fresno County,7/8/20,305,250,28,28,
Glenn County,7/8/20,,,,,
Humboldt County,7/8/20,74,55,15,,
Imperial County,7/8/20,126,119,37,,
Inyo County,7/8/20,,,,,
Kern County,7/8/20,24,24,15,15,
Kings County,7/8/20,43,41,,,
Lake County,7/8/20,,,,,
Lassen County,7/8/20,,,,,
Los Angeles County,7/8/20,4320,3437,651,651,
Madera County ,7/8/20,17,17,,,
Marin County ,7/8/20,197,119,44,,
Mariposa County,7/8/20,44,,,,
Mendocino County,7/8/20,91,54,,,
Merced County,7/8/20,112,48,,,
Modoc County,7/8/20,,,,,
Mono County,7/8/20,,,,,
Monterey County,7/8/20,108,102,108,15,
Napa County ,7/8/20,95,69,18,12,
Nevada County ,7/8/20,70,,,,
Orange County,7/8/20,666,517,78,78,
Placer County,7/8/20,74,46,12,12,
Plumas County,7/8/20,,,,,
Riverside County,7/8/20,356,356,15,15,
Sacramento County,7/8/20,525,492,63,63,
San Benito County,7/8/20,97,81,,,
San Bernardino County,7/8/20,50,37,20,,20
San Diego County,7/8/20,1606,230,44,44,
San Francisco,7/8/20,2407,1876,91,91,
San Joaquin County,7/8/20,73,66,,,
San Luis Obispo County,7/8/20,155,,14,14,
San Mateo County,7/8/20,164,164,,,
Santa Barbara County,7/8/20,139,108,,,
Santa Clara County,7/8/20,674,456,105,105,
Santa Cruz County,7/8/20,149,130,35,,12
Shasta County,7/8/20,97,97,,,
Sierra County,7/8/20,,,,,
Siskiyou County,7/8/20,,,,,
Solano County,7/8/20,200,136,,,
Sonoma County,7/8/20,170,139,,,
Stanislaus County,7/8/20,133,109,,,
Sutter County,7/8/20,21,21,,,
Tehama County,7/8/20,,,,,
Trinity County,7/8/20,,,,,
Tulare County,7/8/20,113,64,,,
Tuolumne County,7/8/20,50,34,,,
Ventura County,7/8/20,388,114,,,
Yolo County,7/8/20,207,106,,,
Yuba County,7/8/20,12,,,,
Wilton Rancheria Tribe,7/8/20,,,,,
Bishop Paiute Tribal Council,7/8/20,,,,,
Alameda County,7/9/20,652,492,91,91,
Alpine County,7/9/20,,,,,
Amador County,7/9/20,,,,,
Butte County,7/9/20,128,128,,,
Calaveras County,7/9/20,30,26,,,
Colusa County,7/9/20,,,,,
Contra Costa County,7/9/20,566,445,,,
Del Norte County,7/9/20,28,28,,,
El Dorado County,7/9/20,46,38,,,
Fresno County,7/9/20,305,250,28,28,
Glenn County,7/9/20,,,,,
Humboldt County,7/9/20,74,55,15,,
Imperial County,7/9/20,126,118,37,,
Inyo County,7/9/20,,,,,
Kern County,7/9/20,27,27,15,15,
Kings County,7/9/20,43,40,,,
Lake County,7/9/20,,,,,
Lassen County,7/9/20,,,,,
Los Angeles County,7/9/20,4320,3443,651,651,
Madera County ,7/9/20,17,17,,,
Marin County ,7/9/20,197,119,44,,
Mariposa County,7/9/20,44,,,,
Mendocino County,7/9/20,91,52,,,
Merced County,7/9/20,112,48,,,
Modoc County,7/9/20,,,,,
Mono County,7/9/20,,,,,
Monterey County,7/9/20,108,102,108,15,
Napa County ,7/9/20,101,70,18,12,
Nevada County ,7/9/20,70,,,,
Orange County,7/9/20,666,519,78,78,
Placer County,7/9/20,74,44,12,12,
Plumas County,7/9/20,,,,,
Riverside County,7/9/20,354,354,15,15,
Sacramento County,7/9/20,525,492,63,63,
San Benito County,7/9/20,97,81,,,
San Bernardino County,7/9/20,50,37,20,,20
San Diego County,7/9/20,1606,229,44,44,
San Francisco,7/9/20,2407,1873,91,91,
San Joaquin County,7/9/20,73,66,,,
San Luis Obispo County,7/9/20,155,,14,14,
San Mateo County,7/9/20,162,162,,,
Santa Barbara County,7/9/20,138,107,,,
Santa Clara County,7/9/20,674,456,105,105,
Santa Cruz County,7/9/20,149,129,35,,12
Shasta County,7/9/20,97,97,,,
Sierra County,7/9/20,,,,,
Siskiyou County,7/9/20,,,,,
Solano County,7/9/20,201,136,,,
Sonoma County,7/9/20,170,139,,,
Stanislaus County,7/9/20,131,107,,,
Sutter County,7/9/20,21,21,,,
Tehama County,7/9/20,,,,,
Trinity County,7/9/20,,,,,
Tulare County,7/9/20,113,64,,,
Tuolumne County,7/9/20,50,34,,,
Ventura County,7/9/20,388,114,,,
Yolo County,7/9/20,207,108,,,
Yuba County,7/9/20,12,,,,
Wilton Rancheria Tribe,7/9/20,,,,,
Bishop Paiute Tribal Council,7/9/20,,,,,
Alameda County,7/10/20,652,495,91,91,
Alpine County,7/10/20,,,,,
Amador County,7/10/20,,,,,
Butte County,7/10/20,128,128,,,
Calaveras County,7/10/20,31,20,,,
Colusa County,7/10/20,,,,,
Contra Costa County,7/10/20,566,444,,,
Del Norte County,7/10/20,28,28,,,
El Dorado County,7/10/20,46,38,,,
Fresno County,7/10/20,305,250,28,28,
Glenn County,7/10/20,,,,,
Humboldt County,7/10/20,74,55,15,,
Imperial County,7/10/20,126,118,37,,
Inyo County,7/10/20,,,,,
Kern County,7/10/20,27,27,15,15,
Kings County,7/10/20,43,41,,,
Lake County,7/10/20,,,,,
Lassen County,7/10/20,,,,,
Los Angeles County,7/10/20,4320,3467,651,651,
Madera County ,7/10/20,17,17,,,
Marin County ,7/10/20,197,122,44,,
Mariposa County,7/10/20,44,,,,
Mendocino County,7/10/20,91,52,,,
Merced County,7/10/20,112,48,,,
Modoc County,7/10/20,,,,,
Mono County,7/10/20,,,,,
Monterey County,7/10/20,105,102,108,15,
Napa County ,7/10/20,101,70,18,12,
Nevada County ,7/10/20,70,,,,
Orange County,7/10/20,666,520,78,78,
Placer County,7/10/20,74,47,12,12,
Plumas County,7/10/20,,,,,
Riverside County,7/10/20,350,350,15,15,
Sacramento County,7/10/20,525,492,63,63,
San Benito County,7/10/20,97,96,,,
San Bernardino County,7/10/20,50,37,20,,20
San Diego County,7/10/20,1606,231,44,44,
San Francisco,7/10/20,2407,1888,91,91,
San Joaquin County,7/10/20,73,65,,,
San Luis Obispo County,7/10/20,155,,14,14,
San Mateo County,7/10/20,163,163,,,
Santa Barbara County,7/10/20,137,112,,,
Santa Clara County,7/10/20,674,456,105,105,
Santa Cruz County,7/10/20,149,129,35,,12
Shasta County,7/10/20,97,97,,,
Sierra County,7/10/20,,,,,
Siskiyou County,7/10/20,,,,,
Solano County,7/10/20,201,136,,,
Sonoma County,7/10/20,170,139,,,
Stanislaus County,7/10/20,131,105,,,
Sutter County,7/10/20,21,21,,,
Tehama County,7/10/20,,,,,
Trinity County,7/10/20,,,,,
Tulare County,7/10/20,113,64,,,
Tuolumne County,7/10/20,50,34,,,
Ventura County,7/10/20,271,124,,,
Yolo County,7/10/20,207,108,,,
Yuba County,7/10/20,12,,,,
Wilton Rancheria Tribe,7/10/20,,,,,
Bishop Paiute Tribal Council,7/10/20,,,,,
Alameda County,7/13/20,652,497,91,91,
Alpine County,7/13/20,,,,,
Amador County,7/13/20,,,,,
Butte County,7/13/20,128,128,,,
Calaveras County,7/13/20,31,20,,,
Colusa County,7/13/20,,,,,
Contra Costa County,7/13/20,566,447,,,
Del Norte County,7/13/20,28,28,,,
El Dorado County,7/13/20,46,38,,,
Fresno County,7/13/20,305,250,28,28,
Glenn County,7/13/20,,,,,
Humboldt County,7/13/20,74,52,15,,
Imperial County,7/13/20,126,118,37,,
Inyo County,7/13/20,,,,,
Kern County,7/13/20,28,28,15,15,
Kings County,7/13/20,43,43,,,
Lake County,7/13/20,,,,,
Lassen County,7/13/20,,,,,
Los Angeles County,7/13/20,4320,3474,651,651,
Madera County ,7/13/20,17,17,,,
Marin County ,7/13/20,197,122,44,,
Mariposa County,7/13/20,44,,,,
Mendocino County,7/13/20,71,54,,,
Merced County,7/13/20,112,48,,,
Modoc County,7/13/20,,,,,
Mono County,7/13/20,,,,,
Monterey County,7/13/20,105,102,108,15,
Napa County ,7/13/20,101,70,18,12,
Nevada County ,7/13/20,70,,,,
Orange County,7/13/20,666,532,78,78,
Placer County,7/13/20,74,47,12,12,
Plumas County,7/13/20,,,,,
Riverside County,7/13/20,351,351,15,15,
Sacramento County,7/13/20,525,492,63,63,
San Benito County,7/13/20,97,83,,,
San Bernardino County,7/13/20,50,37,20,,20
San Diego County,7/13/20,1606,229,44,44,
San Francisco,7/13/20,2407,1888,91,91,
San Joaquin County,7/13/20,73,65,,,
San Luis Obispo County,7/13/20,155,,14,14,
San Mateo County,7/13/20,163,163,,,
Santa Barbara County,7/13/20,136,113,,,
Santa Clara County,7/13/20,674,456,105,81,
Santa Cruz County,7/13/20,149,132,35,,12
Shasta County,7/13/20,97,97,,,
Sierra County,7/13/20,,,,,
Siskiyou County,7/13/20,,,,,
Solano County,7/13/20,201,136,,,
Sonoma County,7/13/20,170,139,24,24,
Stanislaus County,7/13/20,129,103,,,
Sutter County,7/13/20,21,21,,,
Tehama County,7/13/20,,,,,
Trinity County,7/13/20,,,,,
Tulare County,7/13/20,113,65,,,
Tuolumne County,7/13/20,50,34,,,
Ventura County,7/13/20,235,123,,,
Yolo County,7/13/20,207,112,,,
Yuba County,7/13/20,12,,,,
Wilton Rancheria Tribe,7/13/20,,,,,
Bishop Paiute Tribal Council,7/13/20,,,,,
Alameda County,7/14/20,652,509,91,91,
Alpine County,7/14/20,,,,,
Amador County,7/14/20,,,,,
Butte County,7/14/20,131,131,,,
Calaveras County,7/14/20,31,20,,,
Colusa County,7/14/20,,,,,
Contra Costa County,7/14/20,566,448,,,
Del Norte County,7/14/20,28,28,,,
El Dorado County,7/14/20,46,38,,,
Fresno County,7/14/20,305,250,28,28,
Glenn County,7/14/20,,,,,
Humboldt County,7/14/20,74,52,15,,
Imperial County,7/14/20,126,121,37,,
Inyo County,7/14/20,,,,,
Kern County,7/14/20,24,24,15,15,
Kings County,7/14/20,43,43,,,
Lake County,7/14/20,,,,,
Lassen County,7/14/20,,,,,
Los Angeles County,7/14/20,4345,3503,651,651,
Madera County ,7/14/20,17,17,,,
Marin County ,7/14/20,197,122,44,,
Mariposa County,7/14/20,44,,,,
Mendocino County,7/14/20,71,54,,,
Merced County,7/14/20,112,48,,,
Modoc County,7/14/20,,,,,
Mono County,7/14/20,,,,,
Monterey County,7/14/20,105,102,108,15,
Napa County ,7/14/20,101,71,18,12,
Nevada County ,7/14/20,70,,,,
Orange County,7/14/20,666,549,78,78,
Placer County,7/14/20,74,48,12,12,
Plumas County,7/14/20,,,,,
Riverside County,7/14/20,350,350,15,15,
Sacramento County,7/14/20,525,492,63,63,
San Benito County,7/14/20,23,23,,,
San Bernardino County,7/14/20,50,37,20,,20
San Diego County,7/14/20,1606,228,44,44,
San Francisco,7/14/20,2407,1885,91,91,
San Joaquin County,7/14/20,73,65,,,
San Luis Obispo County,7/14/20,155,,14,14,
San Mateo County,7/14/20,163,163,,,
Santa Barbara County,7/14/20,137,119,,,
Santa Clara County,7/14/20,674,456,105,81,
Santa Cruz County,7/14/20,149,131,35,,12
Shasta County,7/14/20,97,97,,,
Sierra County,7/14/20,,,,,
Siskiyou County,7/14/20,,,,,
Solano County,7/14/20,201,136,,,
Sonoma County,7/14/20,170,139,24,24,
Stanislaus County,7/14/20,130,103,,,
Sutter County,7/14/20,21,21,,,
Tehama County,7/14/20,,,,,
Trinity County,7/14/20,,,,,
Tulare County,7/14/20,113,67,,,
Tuolumne County,7/14/20,50,34,,,
Ventura County,7/14/20,235,123,,,
Yolo County,7/14/20,167,115,,,
Yuba County,7/14/20,12,,,,
Wilton Rancheria Tribe,7/14/20,,,,,
Bishop Paiute Tribal Council,7/14/20,,,,,
Alameda County,7/15/20,652,502,91,91,
Alpine County,7/15/20,,,,,
Amador County,7/15/20,,,,,
Butte County,7/15/20,131,131,,,
Calaveras County,7/15/20,31,20,,,
Colusa County,7/15/20,,,,,
Contra Costa County,7/15/20,566,453,,,
Del Norte County,7/15/20,28,28,,,
El Dorado County,7/15/20,46,38,,,
Fresno County,7/15/20,305,250,28,28,
Glenn County,7/15/20,,,,,
Humboldt County,7/15/20,74,52,15,,
Imperial County,7/15/20,126,122,37,,
Inyo County,7/15/20,,,,,
Kern County,7/15/20,25,25,15,15,
Kings County,7/15/20,43,43,,,
Lake County,7/15/20,,,,,
Lassen County,7/15/20,,,,,
Los Angeles County,7/15/20,4345,3497,651,651,
Madera County ,7/15/20,17,17,,,
Marin County ,7/15/20,197,122,44,,
Mariposa County,7/15/20,44,,,,
Mendocino County,7/15/20,92,48,,,
Merced County,7/15/20,112,48,,,
Modoc County,7/15/20,,,,,
Mono County,7/15/20,,,,,
Monterey County,7/15/20,105,102,108,15,
Napa County ,7/15/20,101,71,18,12,
Nevada County ,7/15/20,70,,,,
Orange County,7/15/20,666,552,78,78,
Placer County,7/15/20,74,48,12,12,
Plumas County,7/15/20,,,,,
Riverside County,7/15/20,338,338,15,15,
Sacramento County,7/15/20,525,492,63,63,
San Benito County,7/15/20,20,20,,,
San Bernardino County,7/15/20,50,37,20,,20
San Diego County,7/15/20,1606,233,44,44,
San Francisco,7/15/20,2407,1877,91,91,
San Joaquin County,7/15/20,73,64,,,
San Luis Obispo County,7/15/20,155,,14,14,
San Mateo County,7/15/20,163,163,,,
Santa Barbara County,7/15/20,137,114,,,
Santa Clara County,7/15/20,674,456,105,81,
Santa Cruz County,7/15/20,149,131,35,,12
Shasta County,7/15/20,97,97,,,
Sierra County,7/15/20,,,,,
Siskiyou County,7/15/20,,,,,
Solano County,7/15/20,201,135,,,
Sonoma County,7/15/20,170,139,24,24,
Stanislaus County,7/15/20,130,108,,,
Sutter County,7/15/20,21,21,,,
Tehama County,7/15/20,,,,,
Trinity County,7/15/20,,,,,
Tulare County,7/15/20,113,70,,,
Tuolumne County,7/15/20,50,34,,,
Ventura County,7/15/20,331,130,,,
Yolo County,7/15/20,167,114,,,
Yuba County,7/15/20,12,,,,
Wilton Rancheria Tribe,7/15/20,,,,,
Bishop Paiute Tribal Council,7/15/20,,,,,
Alameda County,7/16/20,652,510,91,91,
Alpine County,7/16/20,,,,,
Amador County,7/16/20,,,,,
Butte County,7/16/20,127,127,,,
Calaveras County,7/16/20,31,19,,,
Colusa County,7/16/20,,,,,
Contra Costa County,7/16/20,566,457,,,
Del Norte County,7/16/20,28,28,,,
El Dorado County,7/16/20,46,38,,,
Fresno County,7/16/20,305,250,28,28,
Glenn County,7/16/20,,,,,
Humboldt County,7/16/20,74,52,15,,
Imperial County,7/16/20,126,122,37,,
Inyo County,7/16/20,,,,,
Kern County,7/16/20,24,24,15,15,
Kings County,7/16/20,44,43,,,
Lake County,7/16/20,,,,,
Lassen County,7/16/20,,,,,
Los Angeles County,7/16/20,4355,3527,651,651,
Madera County ,7/16/20,17,17,,,
Marin County ,7/16/20,177,126,44,,
Mariposa County,7/16/20,44,,,,
Mendocino County,7/16/20,92,48,,,
Merced County,7/16/20,112,35,,,
Modoc County,7/16/20,,,,,
Mono County,7/16/20,,,,,
Monterey County,7/16/20,105,102,108,15,
Napa County ,7/16/20,74,71,18,12,
Nevada County ,7/16/20,70,,,,
Orange County,7/16/20,666,554,78,78,
Placer County,7/16/20,74,49,12,12,
Plumas County,7/16/20,,,,,
Riverside County,7/16/20,336,336,15,15,
Sacramento County,7/16/20,525,492,63,63,
San Benito County,7/16/20,20,20,,,
San Bernardino County,7/16/20,50,37,20,,20
San Diego County,7/16/20,1606,233,44,44,
San Francisco,7/16/20,2407,1883,91,91,
San Joaquin County,7/16/20,73,64,,,
San Luis Obispo County,7/16/20,155,,14,14,
San Mateo County,7/16/20,165,165,,,
Santa Barbara County,7/16/20,136,114,,,
Santa Clara County,7/16/20,674,456,105,81,
Santa Cruz County,7/16/20,149,130,35,,12
Shasta County,7/16/20,97,97,,,
Sierra County,7/16/20,,,,,
Siskiyou County,7/16/20,,,,,
Solano County,7/16/20,201,136,,,
Sonoma County,7/16/20,28,27,24,24,
Stanislaus County,7/16/20,131,108,,,
Sutter County,7/16/20,21,21,,,
Tehama County,7/16/20,,,,,
Trinity County,7/16/20,,,,,
Tulare County,7/16/20,113,70,,,
Tuolumne County,7/16/20,50,34,,,
Ventura County,7/16/20,331,130,,,
Yolo County,7/16/20,167,112,,,
Yuba County,7/16/20,,,,,
Wilton Rancheria Tribe,7/16/20,,,,,
Bishop Paiute Tribal Council,7/16/20,,,,,
Alameda County,7/17/20,652,510,91,91,
Alpine County,7/17/20,,,,,
Amador County,7/17/20,,,,,
Butte County,7/17/20,127,127,,,
Calaveras County,7/17/20,31,19,,,
Colusa County,7/17/20,,,,,
Contra Costa County,7/17/20,566,462,,,
Del Norte County,7/17/20,28,28,,,
El Dorado County,7/17/20,46,38,,,
Fresno County,7/17/20,305,250,28,28,
Glenn County,7/17/20,,,,,
Humboldt County,7/17/20,74,52,15,,
Imperial County,7/17/20,126,121,37,,
Inyo County,7/17/20,,,,,
Kern County,7/17/20,24,24,15,15,
Kings County,7/17/20,44,43,,,
Lake County,7/17/20,,,,,
Lassen County,7/17/20,,,,,
Los Angeles County,7/17/20,4355,3555,651,651,
Madera County ,7/17/20,17,17,,,
Marin County ,7/17/20,177,123,44,,
Mariposa County,7/17/20,44,,,,
Mendocino County,7/17/20,92,48,,,
Merced County,7/17/20,112,35,,,
Modoc County,7/17/20,,,,,
Mono County,7/17/20,,,,,
Monterey County,7/17/20,105,102,108,15,
Napa County ,7/17/20,74,71,18,12,
Nevada County ,7/17/20,70,,,,
Orange County,7/17/20,666,551,78,78,
Placer County,7/17/20,74,49,12,12,
Plumas County,7/17/20,,,,,
Riverside County,7/17/20,334,334,15,15,
Sacramento County,7/17/20,525,492,63,63,
San Benito County,7/17/20,21,21,,,
San Bernardino County,7/17/20,50,37,20,,20
San Diego County,7/17/20,1606,233,44,44,
San Francisco,7/17/20,2407,1895,91,91,
San Joaquin County,7/17/20,73,64,,,
San Luis Obispo County,7/17/20,155,,14,14,
San Mateo County,7/17/20,164,164,,,
Santa Barbara County,7/17/20,127,114,,,
Santa Clara County,7/17/20,674,456,105,81,
Santa Cruz County,7/17/20,149,129,35,,12
Shasta County,7/17/20,97,97,,,
Sierra County,7/17/20,,,,,
Siskiyou County,7/17/20,,,,,
Solano County,7/17/20,205,136,,,
Sonoma County,7/17/20,28,27,24,24,
Stanislaus County,7/17/20,131,108,,,
Sutter County,7/17/20,21,21,,,
Tehama County,7/17/20,,,,,
Trinity County,7/17/20,,,,,
Tulare County,7/17/20,113,71,,,
Tuolumne County,7/17/20,50,34,,,
Ventura County,7/17/20,331,130,,,
Yolo County,7/17/20,167,108,,,
Yuba County,7/17/20,,,,,
Wilton Rancheria Tribe,7/17/20,,,,,
Bishop Paiute Tribal Council,7/17/20,,,,,
Alameda County,7/20/20,652,508,91,91,
Alpine County,7/20/20,,,,,
Amador County,7/20/20,,,,,
Butte County,7/20/20,127,127,,,
Calaveras County,7/20/20,31,19,,,
Colusa County,7/20/20,,,,,
Contra Costa County,7/20/20,566,457,,,
Del Norte County,7/20/20,28,28,,,
El Dorado County,7/20/20,46,38,,,
Fresno County,7/20/20,305,250,28,28,
Glenn County,7/20/20,,,,,
Humboldt County,7/20/20,74,52,15,,
Imperial County,7/20/20,126,121,37,,
Inyo County,7/20/20,,,,,
Kern County,7/20/20,22,22,15,15,
Kings County,7/20/20,44,44,,,
Lake County,7/20/20,,,,,
Lassen County,7/20/20,,,,,
Los Angeles County,7/20/20,4355,3596,651,651,
Madera County ,7/20/20,17,17,,,
Marin County ,7/20/20,177,123,44,,
Mariposa County,7/20/20,44,,,,
Mendocino County,7/20/20,92,48,,,
Merced County,7/20/20,112,35,,,
Modoc County,7/20/20,,,,,
Mono County,7/20/20,,,,,
Monterey County,7/20/20,105,102,108,15,
Napa County ,7/20/20,74,71,18,12,
Nevada County ,7/20/20,70,,,,
Orange County,7/20/20,666,557,78,78,
Placer County,7/20/20,101,50,12,12,
Plumas County,7/20/20,,,,,
Riverside County,7/20/20,333,333,15,15,
Sacramento County,7/20/20,525,492,63,63,
San Benito County,7/20/20,23,23,,,
San Bernardino County,7/20/20,50,37,20,,20
San Diego County,7/20/20,1606,216,44,44,
San Francisco,7/20/20,2407,1916,91,91,
San Joaquin County,7/20/20,73,64,,,
San Luis Obispo County,7/20/20,155,,14,14,
San Mateo County,7/20/20,163,163,,,
Santa Barbara County,7/20/20,132,113,,,
Santa Clara County,7/20/20,674,456,105,81,
Santa Cruz County,7/20/20,149,134,35,,12
Shasta County,7/20/20,97,97,,,
Sierra County,7/20/20,,,,,
Siskiyou County,7/20/20,,,,,
Solano County,7/20/20,206,137,,,
Sonoma County,7/20/20,77,77,24,24,
Stanislaus County,7/20/20,131,107,,,
Sutter County,7/20/20,21,21,,,
Tehama County,7/20/20,,,,,
Trinity County,7/20/20,,,,,
Tulare County,7/20/20,113,72,,,
Tuolumne County,7/20/20,50,34,,,
Ventura County,7/20/20,331,130,,,
Yolo County,7/20/20,167,114,,,
Yuba County,7/20/20,,,,,
Wilton Rancheria Tribe,7/20/20,,,,,
Bishop Paiute Tribal Council,7/20/20,,,,,
Alameda County,7/21/20,652,510,91,91,
Alpine County,7/21/20,,,,,
Amador County,7/21/20,,,,,
Butte County,7/21/20,128,128,,,
Calaveras County,7/21/20,31,19,,,
Colusa County,7/21/20,,,,,
Contra Costa County,7/21/20,566,454,,,
Del Norte County,7/21/20,28,28,,,
El Dorado County,7/21/20,46,38,,,
Fresno County,7/21/20,305,250,28,28,
Glenn County,7/21/20,,,,,
Humboldt County,7/21/20,74,52,15,,
Imperial County,7/21/20,126,121,37,,
Inyo County,7/21/20,,,,,
Kern County,7/21/20,23,23,15,15,
Kings County,7/21/20,44,44,,,
Lake County,7/21/20,,,,,
Lassen County,7/21/20,,,,,
Los Angeles County,7/21/20,4386,3666,651,651,
Madera County ,7/21/20,17,17,,,
Marin County ,7/21/20,177,121,44,,
Mariposa County,7/21/20,44,,,,
Mendocino County,7/21/20,92,48,,,
Merced County,7/21/20,112,35,,,
Modoc County,7/21/20,,,,,
Mono County,7/21/20,,,,,
Monterey County,7/21/20,105,102,108,15,
Napa County ,7/21/20,74,71,18,12,
Nevada County ,7/21/20,70,,,,
Orange County,7/21/20,666,557,78,78,
Placer County,7/21/20,77,41,12,12,
Plumas County,7/21/20,,,,,
Riverside County,7/21/20,331,331,15,15,
Sacramento County,7/21/20,525,492,63,63,
San Benito County,7/21/20,23,23,,,
San Bernardino County,7/21/20,50,37,20,,20
San Diego County,7/21/20,1606,216,44,44,
San Francisco,7/21/20,2407,1901,91,91,
San Joaquin County,7/21/20,73,66,,,
San Luis Obispo County,7/21/20,155,,14,14,
San Mateo County,7/21/20,162,162,,,
Santa Barbara County,7/21/20,133,113,,,
Santa Clara County,7/21/20,674,456,105,81,
Santa Cruz County,7/21/20,149,134,35,,12
Shasta County,7/21/20,97,97,,,
Sierra County,7/21/20,,,,,
Siskiyou County,7/21/20,,,,,
Solano County,7/21/20,217,135,,,
Sonoma County,7/21/20,77,77,24,24,
Stanislaus County,7/21/20,131,109,,,
Sutter County,7/21/20,21,21,,,
Tehama County,7/21/20,,,,,
Trinity County,7/21/20,,,,,
Tulare County,7/21/20,113,71,,,
Tuolumne County,7/21/20,50,34,,,
Ventura County,7/21/20,331,130,,,
Yolo County,7/21/20,167,119,,,
Yuba County,7/21/20,,,,,
Wilton Rancheria Tribe,7/21/20,,,,,
Bishop Paiute Tribal Council,7/21/20,,,,,
Alameda County,7/22/20,652,510,91,91,
Alpine County,7/22/20,,,,,
Amador County,7/22/20,,,,,
Butte County,7/22/20,128,128,,,
Calaveras County,7/22/20,31,19,,,
Colusa County,7/22/20,,,,,
Contra Costa County,7/22/20,566,463,,,
Del Norte County,7/22/20,28,28,,,
El Dorado County,7/22/20,46,38,,,
Fresno County,7/22/20,305,250,28,28,
Glenn County,7/22/20,,,,,
Humboldt County,7/22/20,74,49,15,,
Imperial County,7/22/20,126,122,37,,
Inyo County,7/22/20,,,,,
Kern County,7/22/20,23,23,15,15,
Kings County,7/22/20,44,44,,,
Lake County,7/22/20,,,,,
Lassen County,7/22/20,,,,,
Los Angeles County,7/22/20,4386,3641,651,651,
Madera County ,7/22/20,17,17,,,
Marin County ,7/22/20,177,120,44,,
Mariposa County,7/22/20,44,,,,
Mendocino County,7/22/20,92,48,,,
Merced County,7/22/20,124,35,,,
Modoc County,7/22/20,,,,,
Mono County,7/22/20,,,,,
Monterey County,7/22/20,105,102,108,15,
Napa County ,7/22/20,96,96,18,12,
Nevada County ,7/22/20,70,,,,
Orange County,7/22/20,666,556,78,78,
Placer County,7/22/20,77,41,12,12,
Plumas County,7/22/20,,,,,
Riverside County,7/22/20,332,332,15,15,
Sacramento County,7/22/20,525,492,63,63,
San Benito County,7/22/20,23,23,,,
San Bernardino County,7/22/20,50,37,20,,20
San Diego County,7/22/20,1197,204,44,44,
San Francisco,7/22/20,2468,1889,91,91,
San Joaquin County,7/22/20,73,66,,,
San Luis Obispo County,7/22/20,155,,14,14,
San Mateo County,7/22/20,162,162,,,
Santa Barbara County,7/22/20,133,116,,,
Santa Clara County,7/22/20,674,456,105,81,
Santa Cruz County,7/22/20,149,136,35,,12
Shasta County,7/22/20,97,97,,,
Sierra County,7/22/20,,,,,
Siskiyou County,7/22/20,,,,,
Solano County,7/22/20,214,139,,,
Sonoma County,7/22/20,77,77,24,24,
Stanislaus County,7/22/20,131,108,,,
Sutter County,7/22/20,21,21,,,
Tehama County,7/22/20,,,,,
Trinity County,7/22/20,,,,,
Tulare County,7/22/20,113,71,,,
Tuolumne County,7/22/20,50,34,,,
Ventura County,7/22/20,331,123,,,
Yolo County,7/22/20,167,121,,,
Yuba County,7/22/20,,,,,
Wilton Rancheria Tribe,7/22/20,,,,,
Bishop Paiute Tribal Council,7/22/20,,,,,
Alameda County,7/23/20,693,513,91,91,
Alpine County,7/23/20,,,,,
Amador County,7/23/20,,,,,
Butte County,7/23/20,128,128,,,
Calaveras County,7/23/20,31,19,,,
Colusa County,7/23/20,,,,,
Contra Costa County,7/23/20,566,460,,,
Del Norte County,7/23/20,28,28,,,
El Dorado County,7/23/20,46,38,,,
Fresno County,7/23/20,305,250,28,28,
Glenn County,7/23/20,,,,,
Humboldt County,7/23/20,74,49,15,,
Imperial County,7/23/20,126,121,37,,
Inyo County,7/23/20,,,,,
Kern County,7/23/20,24,24,15,15,
Kings County,7/23/20,44,44,,,
Lake County,7/23/20,,,,,
Lassen County,7/23/20,,,,,
Los Angeles County,7/23/20,4386,3684,651,651,
Madera County ,7/23/20,17,17,,,
Marin County ,7/23/20,177,118,44,,
Mariposa County,7/23/20,44,,,,
Mendocino County,7/23/20,92,48,,,
Merced County,7/23/20,124,35,,,
Modoc County,7/23/20,,,,,
Mono County,7/23/20,,,,,
Monterey County,7/23/20,105,102,108,15,
Napa County ,7/23/20,96,96,18,12,
Nevada County ,7/23/20,70,,,,
Orange County,7/23/20,666,531,78,78,
